               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.022738,            0.011705,           0.0099862,               0.481,              0.3777,             0.36857,             0.18825,            0.022278,           0.0084965,           0.0075721,          0.00094229,          0.00094229,          0.00094229
                  36,            0.022706,            0.011696,           0.0099292,             0.50937,              0.3676,             0.37559,             0.19203,             0.02219,           0.0084847,           0.0074779,          0.00094059,          0.00094059,          0.00094059
                  37,            0.022668,            0.011654,           0.0098896,             0.50802,             0.37434,              0.3782,             0.19489,            0.022141,           0.0084733,           0.0074223,           0.0009389,           0.0009389,           0.0009389
                  38,            0.022565,            0.011683,           0.0098561,             0.48888,             0.38675,             0.38124,             0.19829,            0.022077,           0.0084529,           0.0073563,           0.0009372,           0.0009372,           0.0009372
                  39,            0.022562,            0.011712,           0.0097738,             0.48691,             0.39856,             0.38604,             0.20037,             0.02202,           0.0084567,           0.0072926,           0.0009355,           0.0009355,           0.0009355
                  40,            0.022477,            0.011661,           0.0096881,             0.49748,             0.39365,             0.38973,             0.20343,            0.021969,           0.0084442,           0.0072136,          0.00093381,          0.00093381,          0.00093381
                  41,            0.022442,            0.011652,           0.0096383,             0.50433,             0.39318,             0.39411,             0.20628,            0.021928,           0.0084371,           0.0071576,          0.00093211,          0.00093211,          0.00093211
                  42,            0.022376,            0.011677,           0.0096817,              0.4838,             0.41026,             0.39886,             0.20867,            0.021883,           0.0084281,           0.0070994,          0.00093041,          0.00093041,          0.00093041
                  43,            0.022355,            0.011676,           0.0095408,             0.49366,             0.40666,             0.40129,             0.21014,            0.021842,           0.0084203,           0.0070572,          0.00092871,          0.00092871,          0.00092871
                  44,            0.022294,            0.011646,           0.0095171,             0.50198,             0.40488,             0.40488,              0.2122,            0.021808,           0.0084133,           0.0070146,          0.00092702,          0.00092702,          0.00092702
                  45,            0.022225,            0.011677,           0.0094778,             0.48031,               0.422,             0.40736,             0.21397,            0.021774,           0.0084065,           0.0069751,          0.00092532,          0.00092532,          0.00092532
                  46,            0.022221,            0.011644,           0.0094202,             0.48407,             0.42418,             0.40933,             0.21612,            0.021741,            0.008399,           0.0069532,          0.00092362,          0.00092362,          0.00092362
                  47,            0.022264,            0.011613,            0.009377,             0.50237,             0.41568,             0.41116,             0.21749,            0.021715,           0.0083998,           0.0069354,          0.00092192,          0.00092192,          0.00092192
                  48,            0.022191,            0.011659,           0.0093431,             0.50864,             0.41601,              0.4134,             0.21861,            0.021686,           0.0083924,           0.0069109,          0.00092023,          0.00092023,          0.00092023
                  49,            0.022139,             0.01152,           0.0092895,             0.50827,             0.42048,             0.41542,             0.22006,            0.021665,             0.00839,           0.0068922,          0.00091853,          0.00091853,          0.00091853
                  50,            0.022098,            0.011549,           0.0092628,             0.52034,             0.41454,             0.41713,             0.22135,            0.021643,           0.0083842,           0.0068719,          0.00091683,          0.00091683,          0.00091683
                  51,             0.02213,            0.011552,           0.0092418,             0.52722,             0.41264,             0.41863,             0.22223,            0.021623,           0.0083828,           0.0068509,          0.00091514,          0.00091514,          0.00091514
                  52,            0.022032,            0.011523,           0.0091488,             0.51747,             0.41943,             0.42015,             0.22292,            0.021608,           0.0083844,           0.0068342,          0.00091344,          0.00091344,          0.00091344
