               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.023074,            0.011716,           0.0099403,             0.48222,             0.35407,             0.34498,             0.16787,            0.022956,           0.0084696,           0.0079316,           0.0030188,           0.0030188,           0.0030188
                  36,            0.023097,            0.011776,           0.0099518,             0.47192,             0.35227,             0.34724,             0.16859,            0.023039,           0.0084833,           0.0077829,           0.0030093,           0.0030093,           0.0030093
                  37,            0.023049,            0.011709,           0.0098798,             0.47183,              0.3667,             0.35608,             0.17114,            0.022821,           0.0084599,           0.0078511,           0.0029999,           0.0029999,           0.0029999
                  38,            0.022932,             0.01174,           0.0098347,             0.43277,             0.36839,              0.3446,             0.16868,            0.022884,           0.0084538,           0.0077056,           0.0029904,           0.0029904,           0.0029904
                  39,             0.02298,            0.011741,           0.0098564,             0.44425,             0.38862,             0.36813,             0.17923,             0.02266,              0.0084,           0.0075077,            0.002981,            0.002981,            0.002981
                  40,            0.022891,            0.011719,           0.0097072,             0.45912,              0.3723,             0.36409,             0.18023,            0.022598,           0.0083761,           0.0075175,           0.0029715,           0.0029715,           0.0029715
                  41,            0.022872,             0.01175,           0.0097272,              0.4835,             0.38508,             0.37626,             0.18496,            0.022518,            0.008354,           0.0073345,           0.0029621,           0.0029621,           0.0029621
                  42,            0.022841,            0.011743,            0.009709,             0.47272,             0.37306,             0.37821,              0.1875,            0.022412,           0.0083564,           0.0072258,           0.0029526,           0.0029526,           0.0029526
                  43,            0.022816,             0.01176,           0.0096105,             0.49587,             0.38424,             0.38284,              0.1917,            0.022461,           0.0084159,           0.0071444,           0.0029432,           0.0029432,           0.0029432
                  44,            0.022728,            0.011756,           0.0096001,             0.48939,             0.39336,              0.3873,             0.19359,            0.022384,           0.0083744,           0.0070535,           0.0029337,           0.0029337,           0.0029337
                  45,            0.022621,            0.011752,           0.0095445,             0.52597,             0.36386,             0.38994,             0.19337,            0.022279,           0.0083251,           0.0070802,           0.0029243,           0.0029243,           0.0029243
                  46,            0.022657,            0.011696,           0.0095455,             0.48996,             0.39907,             0.39744,             0.19737,            0.022201,           0.0082705,           0.0069427,           0.0029148,           0.0029148,           0.0029148
                  47,            0.022741,            0.011694,           0.0095208,             0.50643,             0.40016,             0.39986,             0.20166,            0.022181,            0.008341,           0.0069384,           0.0029054,           0.0029054,           0.0029054
                  48,            0.022656,            0.011758,           0.0094961,             0.50131,               0.397,             0.39608,             0.20024,            0.022161,           0.0083257,            0.006881,           0.0028959,           0.0028959,           0.0028959
                  49,            0.022581,            0.011584,           0.0094146,             0.54556,             0.38091,             0.40721,             0.20467,            0.022092,           0.0082482,            0.006775,           0.0028865,           0.0028865,           0.0028865
                  50,            0.022628,            0.011669,            0.009436,             0.48099,             0.41237,             0.40581,             0.20414,            0.022038,           0.0082993,           0.0068899,            0.002877,            0.002877,            0.002877
                  51,            0.022613,            0.011628,            0.009425,             0.53815,             0.38645,             0.41378,             0.20885,            0.021974,           0.0082453,           0.0066806,           0.0028676,           0.0028676,           0.0028676
                  52,            0.022565,            0.011635,           0.0093361,             0.53303,             0.40064,             0.41463,             0.21154,            0.021893,           0.0082211,           0.0066708,           0.0028581,           0.0028581,           0.0028581
                  53,            0.022584,            0.011691,           0.0092992,             0.52835,             0.40805,             0.41851,             0.21295,            0.021919,           0.0082244,           0.0066802,           0.0028487,           0.0028487,           0.0028487
                  54,            0.022503,            0.011674,           0.0092869,             0.52392,             0.40488,             0.41647,             0.21422,            0.021845,           0.0082126,           0.0066036,           0.0028392,           0.0028392,           0.0028392
                  55,            0.022516,            0.011661,            0.009268,              0.5171,             0.40653,             0.41732,             0.21339,            0.021836,           0.0082444,           0.0065987,           0.0028298,           0.0028298,           0.0028298
                  56,            0.022455,            0.011662,            0.009272,             0.52276,             0.41209,             0.42296,             0.21701,            0.021784,           0.0081964,           0.0065083,           0.0028203,           0.0028203,           0.0028203
                  57,            0.022426,            0.011666,           0.0092434,             0.53103,             0.41704,             0.42734,              0.2173,            0.021778,           0.0082029,           0.0064923,           0.0028109,           0.0028109,           0.0028109
                  58,            0.022435,            0.011668,           0.0092332,             0.55973,             0.40506,             0.43062,             0.22141,            0.021731,           0.0081987,           0.0064968,           0.0028014,           0.0028014,           0.0028014
                  59,            0.022383,            0.011588,           0.0091535,             0.56832,             0.40317,             0.43226,             0.22258,            0.021682,           0.0081936,           0.0064508,            0.002792,            0.002792,            0.002792
                  60,            0.022343,            0.011639,            0.009148,             0.54129,             0.41477,             0.43654,             0.22636,            0.021678,             0.00817,           0.0064205,           0.0027826,           0.0027826,           0.0027826
                  61,            0.022383,            0.011605,           0.0091454,             0.54896,             0.41733,             0.43904,             0.22784,            0.021687,           0.0081749,           0.0064311,           0.0027731,           0.0027731,           0.0027731
                  62,            0.022411,            0.011541,           0.0091714,             0.50493,             0.43851,             0.43573,             0.22581,            0.021642,           0.0081708,           0.0064342,           0.0027637,           0.0027637,           0.0027637
                  63,            0.022299,            0.011501,           0.0091435,             0.51983,             0.43792,             0.43828,             0.22639,            0.021606,           0.0081461,           0.0063723,           0.0027542,           0.0027542,           0.0027542
                  64,            0.022321,            0.011571,           0.0091132,             0.53151,             0.42608,             0.43885,             0.22707,            0.021583,           0.0081355,           0.0063164,           0.0027448,           0.0027448,           0.0027448
                  65,             0.02225,            0.011503,           0.0091093,             0.53828,             0.42588,             0.44078,             0.22851,            0.021578,           0.0081399,           0.0063317,           0.0027353,           0.0027353,           0.0027353
                  66,            0.022238,            0.011577,           0.0090587,             0.53611,             0.42757,             0.44332,             0.23088,            0.021531,           0.0081129,           0.0062553,           0.0027259,           0.0027259,           0.0027259
                  67,            0.022152,            0.011532,           0.0089965,             0.51734,             0.44327,             0.44656,             0.23215,            0.021492,           0.0081182,           0.0062376,           0.0027164,           0.0027164,           0.0027164
