               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  33,            0.018756,            0.010415,           0.0062124,             0.73264,             0.54643,             0.62011,             0.37223,            0.018511,            0.007529,           0.0041816,          7.2758e-05,          7.2758e-05,          7.2758e-05
                  34,            0.018712,            0.010454,           0.0061888,             0.72669,             0.55633,              0.6222,             0.37465,            0.018499,           0.0075281,           0.0041772,          7.2532e-05,          7.2532e-05,          7.2532e-05
                  35,            0.018671,            0.010418,           0.0061545,             0.72605,             0.55597,             0.62259,             0.37475,            0.018491,           0.0075241,           0.0041557,          7.2306e-05,          7.2306e-05,          7.2306e-05
                  36,            0.018665,            0.010419,            0.006177,             0.72751,             0.55509,             0.62272,             0.37432,            0.018483,           0.0075224,           0.0041562,          7.2079e-05,          7.2079e-05,          7.2079e-05
                  37,            0.018699,            0.010396,           0.0061519,              0.7311,             0.55289,             0.62242,             0.37508,            0.018483,           0.0075211,           0.0041396,          7.1853e-05,          7.1853e-05,          7.1853e-05
                  38,            0.018635,            0.010419,           0.0061539,             0.72938,             0.55181,              0.6222,             0.37479,            0.018485,           0.0075206,           0.0041484,          7.1627e-05,          7.1627e-05,          7.1627e-05
                  39,            0.018684,            0.010484,           0.0061687,             0.74031,             0.54551,             0.62164,             0.37465,            0.018489,           0.0075203,           0.0041529,            7.14e-05,            7.14e-05,            7.14e-05
                  40,            0.018668,            0.010433,           0.0061486,             0.73095,             0.55158,             0.62206,             0.37327,            0.018484,           0.0075194,           0.0041503,          7.1174e-05,          7.1174e-05,          7.1174e-05
                  41,            0.018676,            0.010439,           0.0061538,             0.73064,             0.55154,             0.62212,             0.37423,            0.018481,           0.0075182,           0.0041442,          7.0948e-05,          7.0948e-05,          7.0948e-05
                  42,            0.018663,            0.010488,           0.0062084,             0.73663,             0.54852,             0.62213,             0.37481,            0.018475,           0.0075159,           0.0041388,          7.0721e-05,          7.0721e-05,          7.0721e-05
                  43,            0.018696,            0.010487,           0.0061554,             0.74156,             0.54594,             0.62211,             0.37503,             0.01847,           0.0075146,           0.0041317,          7.0495e-05,          7.0495e-05,          7.0495e-05
                  44,            0.018636,            0.010465,            0.006201,             0.73587,             0.54811,             0.62217,              0.3749,            0.018467,           0.0075145,           0.0041302,          7.0269e-05,          7.0269e-05,          7.0269e-05
                  45,            0.018612,            0.010506,           0.0061575,             0.69824,             0.56946,             0.62217,             0.37501,            0.018464,           0.0075137,           0.0041293,          7.0043e-05,          7.0043e-05,          7.0043e-05
                  46,            0.018669,            0.010489,            0.006174,             0.73104,             0.54984,             0.62204,             0.37521,            0.018461,           0.0075131,           0.0041276,          6.9816e-05,          6.9816e-05,          6.9816e-05
                  47,            0.018749,            0.010457,            0.006166,              0.7279,             0.55221,             0.62201,             0.37519,            0.018458,           0.0075118,           0.0041255,           6.959e-05,           6.959e-05,           6.959e-05
                  48,            0.018724,            0.010513,           0.0061848,             0.71396,             0.56043,             0.62229,              0.3752,            0.018455,           0.0075112,           0.0041247,          6.9364e-05,          6.9364e-05,          6.9364e-05
                  49,            0.018632,              0.0104,           0.0061239,             0.72966,             0.55066,             0.62259,             0.37527,            0.018453,           0.0075094,           0.0041264,          6.9137e-05,          6.9137e-05,          6.9137e-05
                  50,            0.018697,            0.010443,           0.0061923,             0.73759,             0.54773,             0.62313,             0.37568,            0.018447,            0.007508,           0.0041263,          6.8911e-05,          6.8911e-05,          6.8911e-05
                  51,            0.018719,            0.010435,           0.0061564,              0.7158,             0.55855,             0.62296,             0.37593,            0.018443,           0.0075069,           0.0041273,          6.8685e-05,          6.8685e-05,          6.8685e-05
                  52,            0.018668,            0.010436,           0.0061128,             0.71449,              0.5588,             0.62271,             0.37614,            0.018439,           0.0075052,            0.004126,          6.8458e-05,          6.8458e-05,          6.8458e-05
                  53,            0.018758,            0.010488,           0.0061476,             0.71906,             0.55672,             0.62338,             0.37601,            0.018437,           0.0075054,           0.0041252,          6.8232e-05,          6.8232e-05,          6.8232e-05
                  54,            0.018712,            0.010482,           0.0061333,             0.72087,              0.5558,              0.6235,               0.376,            0.018435,           0.0075044,           0.0041259,          6.8006e-05,          6.8006e-05,          6.8006e-05
                  55,            0.018676,            0.010464,           0.0061482,             0.71276,             0.56054,             0.62389,             0.37594,            0.018432,           0.0075042,           0.0041255,          6.7779e-05,          6.7779e-05,          6.7779e-05
                  56,            0.018782,            0.010552,           0.0062365,             0.72932,             0.55141,             0.62372,             0.37595,            0.018429,           0.0075038,           0.0041251,          6.7553e-05,          6.7553e-05,          6.7553e-05
                  57,            0.018605,            0.010465,           0.0061538,             0.73397,             0.54962,             0.62376,             0.37617,            0.018427,           0.0075035,           0.0041247,          6.7327e-05,          6.7327e-05,          6.7327e-05
                  58,            0.018682,            0.010488,           0.0061858,             0.73457,             0.54908,             0.62412,             0.37657,            0.018425,           0.0075036,           0.0041248,          6.7101e-05,          6.7101e-05,          6.7101e-05
                  59,            0.018634,            0.010403,           0.0061483,             0.73589,             0.54896,             0.62431,              0.3765,            0.018423,           0.0075034,           0.0041247,          6.6874e-05,          6.6874e-05,          6.6874e-05
                  60,            0.018676,            0.010478,            0.006163,             0.73524,              0.5485,             0.62399,             0.37637,            0.018421,           0.0075035,           0.0041251,          6.6648e-05,          6.6648e-05,          6.6648e-05
                  61,            0.018677,            0.010449,           0.0061586,              0.7356,             0.54836,             0.62405,             0.37636,             0.01842,           0.0075033,           0.0041256,          6.6422e-05,          6.6422e-05,          6.6422e-05
                  62,            0.018733,            0.010438,           0.0061889,             0.73608,             0.54751,             0.62411,             0.37664,            0.018418,            0.007503,           0.0041255,          6.6195e-05,          6.6195e-05,          6.6195e-05
                  63,            0.018636,            0.010352,           0.0061571,             0.69728,             0.57029,             0.62419,             0.37665,            0.018417,           0.0075021,           0.0041251,          6.5969e-05,          6.5969e-05,          6.5969e-05
                  64,             0.01861,            0.010448,           0.0061358,             0.69297,             0.57312,             0.62417,             0.37699,            0.018416,           0.0075012,           0.0041245,          6.5743e-05,          6.5743e-05,          6.5743e-05
                  65,            0.018638,            0.010359,           0.0061918,             0.69333,             0.57316,             0.62451,             0.37683,            0.018415,           0.0075012,           0.0041246,          6.5516e-05,          6.5516e-05,          6.5516e-05
                  66,            0.018608,            0.010407,           0.0061519,             0.69363,             0.57299,             0.62449,             0.37674,            0.018413,           0.0075006,           0.0041243,           6.529e-05,           6.529e-05,           6.529e-05
                  67,            0.018582,            0.010423,           0.0060728,             0.69599,             0.57189,             0.62467,             0.37742,            0.018412,           0.0074999,           0.0041237,          6.5064e-05,          6.5064e-05,          6.5064e-05
