               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.021079,            0.011161,            0.007819,             0.28969,            0.072868,            0.061723,            0.025487,            0.033923,             0.01068,             0.01893,          2.5953e-05,          2.5953e-05,             0.13174
                   1,            0.020178,            0.010956,           0.0074248,             0.20081,             0.15601,            0.083544,            0.035029,             0.02966,            0.010741,            0.021072,          5.1615e-05,          5.1615e-05,            0.076593
                   2,              0.0197,            0.010883,           0.0070516,             0.65331,             0.48002,              0.5309,             0.30052,            0.019863,           0.0078358,           0.0057745,          7.6834e-05,          7.6834e-05,            0.021445
                   3,            0.019398,            0.010637,            0.006754,             0.69497,             0.51799,             0.58015,             0.33658,            0.019397,            0.007653,           0.0046916,          8.6023e-05,          8.6023e-05,          8.6023e-05
                   4,            0.019255,            0.010593,           0.0066691,             0.66399,             0.53485,             0.57882,             0.33578,            0.019363,           0.0076283,           0.0046826,          8.6023e-05,          8.6023e-05,          8.6023e-05
                   5,            0.019346,            0.010766,           0.0067037,             0.69021,             0.51965,             0.58017,             0.33634,             0.01933,           0.0076218,           0.0047564,          8.5274e-05,          8.5274e-05,          8.5274e-05
                   6,            0.019363,            0.010662,           0.0067307,             0.65005,             0.54346,             0.58156,             0.33867,            0.019372,           0.0076087,           0.0046634,          8.4524e-05,          8.4524e-05,          8.4524e-05
                   7,            0.019299,            0.010693,           0.0067309,             0.69516,             0.52241,             0.58287,             0.33684,            0.019338,           0.0075885,           0.0046505,          8.3775e-05,          8.3775e-05,          8.3775e-05
                   8,            0.019353,            0.010708,            0.006709,              0.6924,             0.52874,             0.58519,             0.34006,            0.019291,           0.0075914,           0.0046248,          8.3026e-05,          8.3026e-05,          8.3026e-05
                   9,            0.019334,            0.010624,           0.0067436,             0.68154,             0.53017,             0.58324,             0.33786,            0.019329,           0.0075995,           0.0046564,          8.2277e-05,          8.2277e-05,          8.2277e-05
                  10,            0.019319,            0.010667,           0.0066839,             0.70284,             0.51455,             0.58385,             0.33658,             0.01936,           0.0076318,           0.0046172,          8.1528e-05,          8.1528e-05,          8.1528e-05
                  11,            0.019345,            0.010673,           0.0066435,             0.68564,             0.52667,             0.58245,             0.33671,            0.019323,           0.0076306,           0.0046246,          8.0779e-05,          8.0779e-05,          8.0779e-05
                  12,            0.019376,             0.01064,           0.0067173,             0.66469,             0.53481,             0.58196,             0.33547,            0.019328,           0.0076476,           0.0046383,           8.003e-05,           8.003e-05,           8.003e-05
                  13,            0.019332,            0.010633,           0.0066707,             0.67331,              0.5424,             0.58495,              0.3387,            0.019312,           0.0075925,            0.004608,          7.9281e-05,          7.9281e-05,          7.9281e-05
                  14,            0.019373,            0.010662,           0.0066881,             0.68943,             0.51932,             0.57887,             0.33505,            0.019317,           0.0076018,           0.0047119,          7.8532e-05,          7.8532e-05,          7.8532e-05
                  15,            0.019357,            0.010676,           0.0067178,             0.71288,             0.51902,             0.58429,             0.33777,            0.019293,           0.0075995,           0.0045969,          7.7783e-05,          7.7783e-05,          7.7783e-05
                  16,            0.019395,             0.01072,           0.0066573,              0.6976,             0.52438,             0.58813,             0.34139,            0.019289,            0.007593,           0.0045944,          7.7033e-05,          7.7033e-05,          7.7033e-05
                  17,            0.019256,            0.010617,           0.0066073,             0.70168,             0.52054,             0.58561,               0.339,            0.019282,           0.0075829,           0.0046153,          7.6284e-05,          7.6284e-05,          7.6284e-05
                  18,            0.019263,             0.01067,           0.0066801,             0.69057,             0.52818,             0.58205,             0.33833,            0.019297,            0.007622,           0.0046006,          7.5535e-05,          7.5535e-05,          7.5535e-05
                  19,            0.019309,            0.010667,           0.0066804,             0.70604,             0.51871,             0.58565,             0.33973,            0.019292,           0.0075883,           0.0046259,          7.4786e-05,          7.4786e-05,          7.4786e-05
                  20,            0.019278,            0.010628,           0.0066086,             0.68166,             0.53304,             0.58455,             0.33873,            0.019268,           0.0075703,           0.0045924,          7.4037e-05,          7.4037e-05,          7.4037e-05
                  21,            0.019321,            0.010757,           0.0066637,             0.69307,             0.53334,             0.58884,             0.33983,            0.019243,           0.0075907,            0.004619,          7.3288e-05,          7.3288e-05,          7.3288e-05
                  22,            0.019248,            0.010692,            0.006654,             0.69684,             0.53173,             0.58824,             0.34187,            0.019246,           0.0075836,           0.0046045,          7.2539e-05,          7.2539e-05,          7.2539e-05
                  23,            0.019316,            0.010795,           0.0066998,             0.67194,              0.5381,             0.58363,             0.34037,            0.019253,           0.0076016,           0.0045787,           7.179e-05,           7.179e-05,           7.179e-05
                  24,            0.019283,            0.010646,            0.006682,              0.6771,              0.5353,             0.58656,             0.34061,             0.01926,           0.0075933,             0.00459,          7.1041e-05,          7.1041e-05,          7.1041e-05
                  25,            0.019288,            0.010685,           0.0066938,             0.67071,              0.5359,             0.58586,              0.3405,            0.019265,           0.0075924,           0.0045933,          7.0292e-05,          7.0292e-05,          7.0292e-05
                  26,            0.019277,            0.010659,           0.0066184,              0.6956,             0.53179,             0.58862,              0.3425,            0.019229,           0.0075807,           0.0045708,          6.9542e-05,          6.9542e-05,          6.9542e-05
                  27,            0.019248,            0.010632,           0.0066391,             0.64567,             0.55557,              0.5867,             0.34033,             0.01926,           0.0075863,           0.0045949,          6.8793e-05,          6.8793e-05,          6.8793e-05
                  28,            0.019252,            0.010737,           0.0066701,             0.69322,             0.53097,             0.58762,             0.34166,             0.01926,           0.0075868,           0.0045857,          6.8044e-05,          6.8044e-05,          6.8044e-05
                  29,            0.019315,             0.01072,           0.0066361,             0.68728,             0.53079,             0.58763,             0.34179,            0.019232,           0.0075738,           0.0045689,          6.7295e-05,          6.7295e-05,          6.7295e-05
                  30,            0.019219,            0.010701,           0.0065524,             0.69055,             0.53522,             0.59072,             0.34311,            0.019214,           0.0075772,           0.0045542,          6.6546e-05,          6.6546e-05,          6.6546e-05
                  31,            0.019238,            0.010644,            0.006566,             0.69704,             0.52794,              0.5882,             0.34204,            0.019228,           0.0075751,           0.0045906,          6.5797e-05,          6.5797e-05,          6.5797e-05
                  32,            0.019293,            0.010671,           0.0065842,             0.68296,             0.53684,             0.59006,             0.34453,            0.019232,           0.0075868,           0.0045638,          6.5048e-05,          6.5048e-05,          6.5048e-05
                  33,            0.019237,            0.010584,           0.0066043,             0.70094,             0.52555,             0.58866,             0.34418,            0.019269,           0.0075864,           0.0045806,          6.4299e-05,          6.4299e-05,          6.4299e-05
