               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.021245,            0.011204,            0.007966,             0.20749,             0.18333,             0.10386,             0.04178,            0.030321,            0.012909,            0.016662,          0.00015419,          0.00015419,             0.13187
                   1,            0.020498,            0.011072,           0.0077113,              0.5382,              0.2984,             0.31921,             0.15738,            0.023714,           0.0085629,            0.009714,          0.00030664,          0.00030664,            0.076848
                   2,            0.020167,             0.01105,           0.0074401,             0.62948,             0.44122,             0.49379,             0.26781,            0.020818,           0.0079801,           0.0061634,          0.00045647,          0.00045647,            0.021824
                   3,             0.01996,            0.010853,           0.0072442,              0.6304,             0.48924,             0.53476,             0.29498,            0.020244,           0.0078686,           0.0052513,          0.00051106,          0.00051106,          0.00051106
                   4,            0.019859,            0.010809,           0.0071811,             0.67306,             0.46322,              0.5203,             0.28042,            0.020425,           0.0079041,           0.0054507,          0.00051106,          0.00051106,          0.00051106
                   5,            0.019951,            0.010984,           0.0071944,             0.64312,             0.48908,             0.53549,             0.29879,            0.020159,           0.0078619,           0.0053129,          0.00050661,          0.00050661,          0.00050661
                   6,            0.019978,             0.01088,            0.007232,             0.63671,             0.47889,             0.52797,             0.29278,            0.020315,           0.0078121,           0.0053081,          0.00050216,          0.00050216,          0.00050216
                   7,            0.019904,            0.010916,           0.0072116,             0.63354,             0.48692,             0.52881,             0.28974,            0.020309,           0.0078372,           0.0054089,          0.00049771,          0.00049771,          0.00049771
                   8,            0.019954,            0.010933,            0.007221,             0.63015,             0.49242,             0.53382,             0.29698,            0.020166,           0.0078479,           0.0054107,          0.00049326,          0.00049326,          0.00049326
                   9,            0.019935,            0.010841,           0.0072326,               0.631,             0.49241,             0.53192,             0.29509,             0.02031,           0.0078892,            0.005237,          0.00048881,          0.00048881,          0.00048881
                  10,            0.019933,            0.010883,           0.0071778,              0.6131,             0.49196,             0.53021,             0.29099,             0.02031,           0.0079011,           0.0053726,          0.00048436,          0.00048436,          0.00048436
                  11,            0.019956,            0.010887,           0.0071318,             0.62558,             0.49109,              0.5315,             0.29573,            0.020263,           0.0078115,           0.0053412,          0.00047991,          0.00047991,          0.00047991
                  12,            0.019975,            0.010846,            0.007221,              0.6295,             0.48245,             0.52396,             0.29048,            0.020127,           0.0078443,           0.0053863,          0.00047546,          0.00047546,          0.00047546
                  13,            0.019924,             0.01085,           0.0071651,             0.64674,             0.48496,             0.52935,             0.29298,            0.020054,           0.0078264,           0.0053769,          0.00047101,          0.00047101,          0.00047101
                  14,            0.019969,             0.01088,           0.0071925,             0.65059,             0.47942,             0.53404,             0.29874,            0.020039,           0.0078052,            0.005489,          0.00046655,          0.00046655,          0.00046655
                  15,            0.019964,            0.010895,           0.0072214,             0.63819,             0.50321,             0.54142,             0.30067,            0.020052,           0.0077593,           0.0052699,           0.0004621,           0.0004621,           0.0004621
                  16,            0.019976,            0.010926,           0.0071421,             0.65773,             0.49706,             0.54923,             0.30483,            0.020037,           0.0077987,           0.0050476,          0.00045765,          0.00045765,          0.00045765
                  17,            0.019842,            0.010825,           0.0070974,             0.63545,             0.49947,             0.54343,             0.30201,             0.01995,           0.0077545,           0.0050254,           0.0004532,           0.0004532,           0.0004532
                  18,            0.019859,            0.010884,           0.0071458,             0.63796,             0.48477,             0.53547,             0.29938,            0.020071,           0.0078057,           0.0052403,          0.00044875,          0.00044875,          0.00044875
                  19,            0.019868,             0.01087,           0.0071628,             0.62865,             0.49859,             0.54068,             0.30376,              0.0201,           0.0078522,           0.0051979,           0.0004443,           0.0004443,           0.0004443
                  20,            0.019849,            0.010826,           0.0070849,             0.65481,             0.49515,             0.54934,             0.30824,            0.019958,           0.0077399,           0.0051168,          0.00043985,          0.00043985,          0.00043985
                  21,            0.019884,            0.010964,            0.007133,             0.63768,              0.4818,             0.52991,              0.2915,             0.02003,           0.0078203,           0.0054511,           0.0004354,           0.0004354,           0.0004354
                  22,            0.019818,            0.010892,           0.0071222,             0.66853,             0.49793,             0.54959,             0.30812,            0.020008,           0.0078938,            0.005244,          0.00043095,          0.00043095,          0.00043095
